Date,Ping,Download-Speed,Upload-Speed
Tue Jan 31 23:30:01  2017, 47.882,0.44 ,0.05 
Tue Jan 31 23:45:01  2017,115.26 ,0.25 ,0.00 
Wed Feb  1 00:00:02  2017,x,x,x
Wed Feb  1 00:15:01  2017,x,x,x
Wed Feb  1 00:30:01  2017,x,x,x
Wed Feb  1 00:45:01  2017,52.887,0.27 ,0.04 
Wed Feb  1 01:00:02  2017,39.429 ,0.46 ,2.93 
Wed Feb  1 01:15:01  2017,x,x,x
Wed Feb  1 01:30:01  2017,43.379,1.68 ,0.00 
Wed Feb  1 01:45:01  2017,x,x,x
Wed Feb  1 02:00:01  2017,54.161,0.20 ,0.00 
Wed Feb  1 02:15:01  2017,x,x,x
Wed Feb  1 02:30:01  2017,404.715 ,0.32 ,0.00 
Wed Feb  1 02:45:01  2017,x,x,x
Wed Feb  1 03:00:01  2017,x,x,x
Wed Feb  1 03:15:01  2017,x,x,x
Wed Feb  1 03:30:01  2017,x,x,x
Wed Feb  1 03:45:01  2017,x,x,x
Wed Feb  1 04:00:01  2017,34.851 ,1.99 ,0.95 
Wed Feb  1 04:15:01  2017,x,x,x
Wed Feb  1 04:30:01  2017,33.926 ,2.06 ,0.00 
Wed Feb  1 04:45:01  2017,x,x,x
Wed Feb  1 05:00:01  2017,x,x,x
Wed Feb  1 05:15:01  2017,33.529,0.75 ,0.00 
Wed Feb  1 05:30:01  2017,34.475 ,0.91 ,0.00 
Wed Feb  1 05:45:01  2017,x,x,x
Wed Feb  1 06:00:01  2017,x,x,x
Wed Feb  1 06:15:01  2017,x,x,x
Wed Feb  1 06:30:01  2017,x,x,x
Wed Feb  1 06:45:01  2017,49.474,3.47 ,0.00 
Wed Feb  1 07:00:01  2017,x,x,x
Wed Feb  1 07:15:01  2017,x,x,x
Wed Feb  1 07:30:02  2017,50.774,0.28 ,0.00 
Wed Feb  1 07:45:01  2017,37.417 ,0.09 ,0.00 
Wed Feb  1 08:00:01  2017,x,x,x
Wed Feb  1 08:15:02  2017,x,x,x
Wed Feb  1 08:30:01  2017,46.813 ,0.52 ,0.00 
Wed Feb  1 08:45:01  2017,x,x,x
Wed Feb  1 09:00:01  2017,x,x,x
Wed Feb  1 09:15:01  2017,x,x,x
Wed Feb  1 09:30:01  2017,x,x,x
Wed Feb  1 09:45:01  2017,x,x,x
Wed Feb  1 10:00:01  2017,x,x,x
Wed Feb  1 10:15:01  2017,x,x,x
Wed Feb  1 10:30:01  2017,x,x,x
Wed Feb  1 10:45:01  2017,x,x,x
