Tue Nov  1 06:25:01  2016,33.963 ,18.36 ,12.07 
Tue Nov  1 06:30:01  2016,46.231 ,15.96 ,11.15 
Tue Nov  1 06:35:01  2016,34.127 ,19.00 ,11.95 
Tue Nov  1 06:40:01  2016,33.463, 17.02 ,11.71 
Tue Nov  1 06:45:01  2016,46.531 ,17.02 ,11.62 
Tue Nov  1 06:50:01  2016,55.952 ,16.66 ,11.29 
Tue Nov  1 06:55:01  2016,52.955 ,14.86 ,9.17 
Tue Nov  1 07:00:01  2016,51.341 ,14.77 ,10.15 
Tue Nov  1 07:05:01  2016,52.44 ,15.65 ,10.32 
Tue Nov  1 07:10:01  2016,51.751 ,15.19 ,9.48 
Tue Nov  1 07:15:01  2016,51.937 ,15.45 ,9.31 
Tue Nov  1 07:20:01  2016,50.596 ,14.07 ,8.94 
Tue Nov  1 07:25:01  2016,45.596 ,10.32 ,9.15 
Tue Nov  1 07:30:01  2016, 47.645 ,15.90 ,8.84 
Tue Nov  1 07:35:01  2016,48.616 ,15.84 ,7.86 
Tue Nov  1 07:40:01  2016,52.068 ,14.48 ,8.87 
Tue Nov  1 07:45:01  2016,44.569 ,14.00 ,7.24 
Tue Nov  1 07:50:01  2016,50.39 ,15.36 ,7.42 
Tue Nov  1 07:55:01  2016,55.476 ,13.69 ,8.50 
Tue Nov  1 08:00:01  2016,600046.726 ,0.51 ,0.00 
Tue Nov  1 08:05:01  2016,x,x,x
Tue Nov  1 08:10:01  2016,x,x,x
Tue Nov  1 08:15:01  2016,x,x,x
Tue Nov  1 08:20:01  2016,x,x,x
Tue Nov  1 08:25:01  2016,x,x,x
Tue Nov  1 08:30:01  2016,x,x,x
Tue Nov  1 08:35:01  2016,x,x,x
Tue Nov  1 08:40:01  2016,x,x,x
Tue Nov  1 08:45:01  2016,x,x,x
Tue Nov  1 08:50:01  2016,x,x,x
Tue Nov  1 08:55:01  2016,x,x,x
Tue Nov  1 09:00:01  2016,x,x,x
Tue Nov  1 09:05:01  2016,x,x,x
Tue Nov  1 09:10:01  2016,x,x,x
Tue Nov  1 09:15:01  2016,x,x,x
Tue Nov  1 09:20:01  2016,x,x,x
Tue Nov  1 09:25:01  2016,x,x,x
Tue Nov  1 09:30:01  2016,x,x,x
Tue Nov  1 09:35:01  2016,x,x,x
Tue Nov  1 09:40:01  2016,x,x,x
Tue Nov  1 09:45:01  2016,x,x,x
Tue Nov  1 09:50:01  2016,x,x,x
Tue Nov  1 09:55:01  2016,x,x,x
Tue Nov  1 10:00:01  2016,x,x,x
Tue Nov  1 10:05:02  2016,x,x,x
Tue Nov  1 10:10:01  2016,x,x,x
Tue Nov  1 10:15:01  2016,x,x,x
Tue Nov  1 10:20:01  2016,x,x,x
Tue Nov  1 10:25:01  2016,x,x,x
Tue Nov  1 10:30:01  2016,x,x,x
Tue Nov  1 10:35:01  2016,x,x,x
Tue Nov  1 10:40:01  2016,x,x,x
Tue Nov  1 10:45:01  2016,x,x,x
Tue Nov  1 10:50:01  2016,x,x,x
Tue Nov  1 10:55:01  2016,x,x,x
Tue Nov  1 11:00:01  2016,x,x,x
Tue Nov  1 11:05:01  2016,x,x,x
Tue Nov  1 11:10:01  2016,x,x,x
Tue Nov  1 11:15:01  2016,x,x,x
Tue Nov  1 11:20:01  2016,x,x,x
Tue Nov  1 11:25:01  2016,x,x,x
Tue Nov  1 11:30:01  2016,x,x,x
Tue Nov  1 11:35:01  2016,x,x,x
Tue Nov  1 11:40:01  2016,x,x,x
Tue Nov  1 11:45:01  2016,x,x,x
Tue Nov  1 11:50:01  2016,x,x,x
Tue Nov  1 11:55:01  2016,x,x,x
Tue Nov  1 12:00:01  2016,x,x,x
Tue Nov  1 12:05:01  2016,x,x,x
Tue Nov  1 12:10:01  2016,x,x,x
Tue Nov  1 12:15:01  2016,x,x,x
Tue Nov  1 12:20:01  2016,x,x,x
Tue Nov  1 12:25:01  2016,x,x,x
Tue Nov  1 12:30:01  2016,x,x,x
Tue Nov  1 12:35:01  2016,x,x,x
Tue Nov  1 12:40:01  2016,x,x,x
Tue Nov  1 12:45:01  2016,x,x,x
Tue Nov  1 12:50:01  2016,x,x,x
Tue Nov  1 12:55:01  2016,x,x,x
Tue Nov  1 13:00:01  2016,x,x,x
Tue Nov  1 13:05:01  2016,x,x,x
Tue Nov  1 13:10:02  2016,x,x,x
Tue Nov  1 13:15:01  2016,x,x,x
Tue Nov  1 13:20:01  2016,x,x,x
Tue Nov  1 13:25:01  2016,x,x,x
Tue Nov  1 13:30:01  2016,x,x,x
Tue Nov  1 13:35:01  2016,x,x,x
Tue Nov  1 13:40:01  2016,x,x,x
Tue Nov  1 13:45:01  2016,x,x,x
Tue Nov  1 13:50:01  2016,x,x,x
Tue Nov  1 13:55:01  2016,x,x,x
Tue Nov  1 14:00:01  2016,x,x,x
Tue Nov  1 14:05:01  2016,x,x,x
Tue Nov  1 14:10:01  2016,x,x,x
Tue Nov  1 14:15:01  2016,x,x,x
Tue Nov  1 14:20:01  2016,x,x,x
Tue Nov  1 14:25:01  2016,x,x,x
Tue Nov  1 14:30:01  2016,x,x,x
Tue Nov  1 14:35:01  2016,x,x,x
Tue Nov  1 14:40:01  2016,x,x,x
Tue Nov  1 14:45:01  2016,x,x,x
Tue Nov  1 14:50:01  2016,x,x,x
Tue Nov  1 14:55:01  2016,x,x,x
Tue Nov  1 15:00:01  2016,x,x,x
Tue Nov  1 15:05:01  2016,x,x,x
Tue Nov  1 15:10:01  2016,x,x,x
Tue Nov  1 15:15:01  2016,x,x,x
Tue Nov  1 15:20:01  2016,x,x,x
Tue Nov  1 15:25:02  2016,x,x,x
Tue Nov  1 15:30:01  2016,x,x,x
Tue Nov  1 15:35:01  2016,x,x,x
Tue Nov  1 15:40:01  2016,x,x,x
Tue Nov  1 15:45:01  2016,x,x,x
Tue Nov  1 15:50:01  2016,x,x,x
Tue Nov  1 15:55:01  2016,x,x,x
Tue Nov  1 16:00:01  2016,x,x,x
Tue Nov  1 16:05:01  2016,x,x,x
Tue Nov  1 16:10:01  2016,x,x,x
Tue Nov  1 16:15:01  2016,x,x,x
Tue Nov  1 16:20:01  2016,x,x,x
Tue Nov  1 16:25:01  2016,x,x,x
Tue Nov  1 16:30:01  2016,x,x,x
Tue Nov  1 16:35:01  2016,x,x,x
Tue Nov  1 16:40:01  2016,x,x,x
Tue Nov  1 16:45:01  2016,x,x,x
Tue Nov  1 16:50:01  2016,x,x,x
Tue Nov  1 16:55:01  2016,x,x,x
Tue Nov  1 17:00:01  2016,x,x,x
Tue Nov  1 17:05:01  2016,x,x,x
Tue Nov  1 17:10:01  2016,x,x,x
Tue Nov  1 17:15:01  2016,x,x,x
Tue Nov  1 17:20:01  2016,x,x,x
Tue Nov  1 17:25:01  2016,x,x,x
Tue Nov  1 17:30:01  2016,x,x,x
Tue Nov  1 17:35:01  2016,x,x,x
Tue Nov  1 17:40:01  2016,x,x,x
Tue Nov  1 17:45:01  2016,x,x,x
Tue Nov  1 17:50:01  2016,x,x,x
Tue Nov  1 17:55:01  2016,x,x,x
Tue Nov  1 18:00:01  2016,x,x,x
Tue Nov  1 18:05:01  2016,x,x,x
Tue Nov  1 18:10:01  2016,x,x,x
Tue Nov  1 18:15:01  2016,x,x,x
Tue Nov  1 18:20:01  2016,x,x,x
Tue Nov  1 18:25:01  2016,x,x,x
Tue Nov  1 18:30:01  2016,x,x,x
Tue Nov  1 18:35:01  2016,x,x,x
Tue Nov  1 18:40:01  2016,x,x,x
Tue Nov  1 18:45:01  2016,x,x,x
Tue Nov  1 18:50:01  2016,x,x,x
Tue Nov  1 18:55:01  2016,x,x,x
Tue Nov  1 19:00:01  2016,x,x,x
Tue Nov  1 19:05:01  2016,x,x,x
Tue Nov  1 19:10:01  2016,x,x,x
Tue Nov  1 19:15:01  2016,x,x,x
Tue Nov  1 19:20:01  2016,x,x,x
Tue Nov  1 19:25:01  2016,x,x,x
Tue Nov  1 19:30:01  2016,x,x,x
Tue Nov  1 19:35:01  2016,x,x,x
Tue Nov  1 19:40:01  2016,x,x,x
Tue Nov  1 19:45:01  2016,x,x,x
Tue Nov  1 19:50:01  2016,x,x,x
Tue Nov  1 19:55:01  2016,x,x,x
Tue Nov  1 20:00:01  2016,x,x,x
Tue Nov  1 20:05:01  2016,x,x,x
Tue Nov  1 20:10:01  2016,x,x,x
Tue Nov  1 20:15:01  2016,x,x,x
Tue Nov  1 20:20:01  2016,x,x,x
Tue Nov  1 20:25:01  2016,x,x,x
Tue Nov  1 20:30:01  2016,x,x,x
Tue Nov  1 20:35:01  2016,x,x,x
Tue Nov  1 20:40:01  2016,x,x,x
Tue Nov  1 20:45:01  2016,x,x,x
Tue Nov  1 20:50:01  2016,x,x,x
Tue Nov  1 20:55:01  2016,x,x,x
Tue Nov  1 21:00:01  2016,x,x,x
Tue Nov  1 21:05:01  2016,x,x,x
Tue Nov  1 21:10:01  2016,x,x,x
Tue Nov  1 21:15:01  2016,x,x,x
Tue Nov  1 21:20:01  2016,x,x,x
Tue Nov  1 21:25:01  2016,x,x,x
Tue Nov  1 21:30:01  2016,x,x,x
Tue Nov  1 21:35:01  2016,x,x,x
Tue Nov  1 21:40:01  2016,x,x,x
Tue Nov  1 21:45:01  2016,x,x,x
Tue Nov  1 21:50:01  2016,x,x,x
Tue Nov  1 21:55:01  2016,x,x,x
Tue Nov  1 22:00:01  2016,x,x,x
Tue Nov  1 22:05:01  2016,x,x,x
Tue Nov  1 22:10:01  2016,x,x,x
Tue Nov  1 22:15:01  2016,x,x,x
Tue Nov  1 22:20:01  2016,x,x,x
Tue Nov  1 22:25:01  2016,x,x,x
Tue Nov  1 22:30:02  2016,x,x,x
Tue Nov  1 22:35:01  2016,x,x,x
Tue Nov  1 22:40:01  2016,x,x,x
Tue Nov  1 22:45:01  2016,x,x,x
Tue Nov  1 22:50:01  2016,x,x,x
Tue Nov  1 22:55:01  2016,x,x,x
Tue Nov  1 23:00:01  2016,x,x,x
Tue Nov  1 23:05:01  2016,x,x,x
Tue Nov  1 23:10:01  2016,x,x,x
Tue Nov  1 23:15:01  2016,x,x,x
Tue Nov  1 23:20:01  2016,x,x,x
Tue Nov  1 23:25:01  2016,x,x,x
Tue Nov  1 23:30:01  2016,x,x,x
Tue Nov  1 23:35:01  2016,x,x,x
Tue Nov  1 23:40:01  2016,x,x,x
Tue Nov  1 23:45:01  2016,x,x,x
Tue Nov  1 23:50:01  2016,x,x,x
Tue Nov  1 23:55:01  2016,x,x,x
Wed Nov  2 00:00:01  2016,x,x,x
Wed Nov  2 00:05:01  2016,x,x,x
Wed Nov  2 00:10:01  2016,x,x,x
Wed Nov  2 00:15:01  2016,x,x,x
Wed Nov  2 00:20:01  2016,x,x,x
Wed Nov  2 00:25:01  2016,x,x,x
Wed Nov  2 00:30:01  2016,x,x,x
Wed Nov  2 00:35:01  2016,x,x,x
Wed Nov  2 00:40:02  2016,x,x,x
Wed Nov  2 00:45:01  2016,x,x,x
Wed Nov  2 00:50:01  2016,x,x,x
Wed Nov  2 00:55:01  2016,x,x,x
Wed Nov  2 01:00:01  2016,x,x,x
Wed Nov  2 01:05:01  2016,x,x,x
Wed Nov  2 01:10:01  2016,x,x,x
Wed Nov  2 01:15:01  2016,x,x,x
Wed Nov  2 01:20:01  2016,x,x,x
Wed Nov  2 01:25:01  2016,x,x,x
Wed Nov  2 01:30:01  2016,x,x,x
Wed Nov  2 01:35:01  2016,x,x,x
Wed Nov  2 01:40:01  2016,x,x,x
Wed Nov  2 01:45:01  2016,x,x,x
Wed Nov  2 01:50:01  2016,x,x,x
Wed Nov  2 01:55:01  2016,x,x,x
Wed Nov  2 02:00:01  2016,x,x,x
Wed Nov  2 02:05:01  2016,35.185 ,20.53 ,18.63 
Wed Nov  2 02:10:01  2016,31.154 ,19.69 ,17.76 
Wed Nov  2 02:15:01  2016,30.548 ,19.58 ,17.60 
Wed Nov  2 02:20:01  2016,32.381 ,18.87 ,16.33 
Wed Nov  2 02:25:02  2016,29.663 ,20.67 ,17.25 
