Time of Day, Ping, Download Speed , Upload Speed 
 03:05:01  ,32.16 ,19.48 ,17.97 
 03:10:01  ,32.617 ,18.86 ,16.62 
 03:15:01  ,30.93 ,19.42 ,16.82 
 03:20:01  ,29.952 ,20.52 ,18.71 
 03:25:01  ,31.91 ,20.31 ,18.16 
 03:30:01  ,32.316 ,19.36 ,17.75 
 03:35:01  ,32.285 ,19.64 ,17.15 
 03:40:01  ,30.959 ,19.82 ,18.62 
 03:45:01  ,32.827 ,19.95 ,16.52 
 03:50:01  ,33.965 ,20.57 ,15.09 
 03:55:01  ,29.946 ,19.82 ,18.32 
 04:00:01  ,30.41 ,19.92 ,18.11 
 04:05:01  ,30.289 ,21.61 ,17.79 
 04:10:01  ,30.452 ,20.45 ,18.70 
 04:15:01  ,29.934 ,20.53 ,18.49 
 04:20:01  ,29.655 ,20.85 ,17.27 
 04:25:01  ,30.431 ,20.52 ,18.48 
 04:30:01  ,29.772 ,21.24 ,18.41 
 04:35:01  ,29.772 ,20.82 ,18.27 
 04:40:01  ,29.606 ,19.65 ,17.68 
 04:45:01  ,28.523 ,20.53 ,18.12 
 04:50:01  ,29.914 ,19.95 ,16.76 
 04:55:01  ,30.447 ,19.19 ,17.97 
 05:00:01  ,29.76 ,20.53 ,17.48 
 05:05:01  ,30.925 ,16.72 ,16.89 
 05:10:01  ,31.038 ,19.82 ,18.37 
 05:15:01  ,31.155 ,20.43 ,18.40 
 05:20:01  ,29.909 ,19.55 ,18.64 
 05:25:01  ,29.831 ,20.45 ,18.56 
 05:30:01  ,31.248 ,19.82 ,16.44 
 05:35:01  ,31.286 ,20.31 ,18.63 
 05:40:01  ,29.929 ,19.49 ,18.04 
 05:45:01  ,31.112 ,19.33 ,18.45 
 05:50:01  ,32.055 ,21.12 ,16.86 
 05:55:01  ,33.551 ,21.06 ,18.39 
 06:00:01  ,30.776 ,20.88 ,17.27 
 06:05:01  ,31.926 ,20.21 ,16.89 
 06:10:01  ,32.409 ,20.04 ,17.37 
 06:15:01  ,31.926 ,19.44 ,18.30 
 06:20:01  ,41.001 ,17.67, 17.83 
 06:25:01  ,29.725,18.05 ,17.02 
 06:30:01  ,41.62,19.80 ,18.36 
 06:35:01  ,36.791 ,17.31 ,17.76 
